Nee Venunda Chellam,
16 Naatkal,
Jambhavan,
Sillunu Oru Kaadhal,
Ilavattam,
Sengathu,
Maranthen Meimaranthen,
Varalaru,
Kizhakku Kadalkarai Salai,
Aavani Thingal,
Prathi Gnayiru 9.30 to 10.00,
Sivappathigaram,
Iruvar Mattum,
Idhu Kadhal Varum Paruvam,
Aadu Puli Aatam,
Ganapathy Vanthachi,
Azhagiya Asura,
Ilakkanam,
Thirudi,
Veyil,
Adaikalam,
Kasu,
Kalakkura Chandru,2007
Thaamirabharani,
Murugaa,
Nanbanin Kadhali,
Kuttrapathirikai,
Kuppi,
Kaanal Neer,
Maya Kannadi,
Madurai Veeran,
Mudhal Kanave,
Dhandayuthapani,
Achacho,
Kasu Irukkanum,
Niram,
Ninaithale,
Thiru Ranga,
Karuppusamy Kuththagaithaarar,
Nee Naan Nila,
Rasigar Mandram,
Pirappu,
Thullal,
Ennai Paar Yogam Varum,
Viyabari,
Maa Madurai,
Thee Nagar,
Veerappu,
Arya,
En Uyirinum Melana,
Pallikoodam,
Anbu Thozhi,
Oru Ponnu Oru Paiyan,
Cheena Thaana 001,
Marudhamalai,
18 Vayasu Puyale,
Thirutham,
Vasantham Vanthachu,
Nenjai Thodu,
Piragu,
Malaikottai,
Meendum Chandramathi,
Mudhal Mudhalai,
Vegam,
Pasupathi c/o Rasakkapalayam,
Veeramum Eeramum,
Niyabagam Varuthe,
Ippadikku En Kadhal,
Chandiramathi,
Agra,
Azhagiya Tamil Magan,
Machakaaran,
Polladhavan,
Kelvikuri,
Kallori,
Kanna,
Puli Varudhu,
Pazhaniappa Kalloori,
Bheema,2008
Pidichirukku,
Pattaya Kelappu,
Ashoka,
Indiralohathil Na Azhagappan,
Thangam,
Thodakkam,
Kadhal Kaditham,
Nenjathai Killadhe,
Pachai Nirame,
Akku,
Valluvan Vasuki,
Ezhuthiyatharadi,
Ponmagal Vandhal,
Velli Thirai,
Unakkaga,
Singakutty,
Azhagu Nilayam,
Kattuviriyan,
Tharagu,
Vedha,
Pasumpon Devar Varalaru,
Vilaiyattu,
Nepali,
Santosh Subramaniam,
Thozha,
Arai En 305-il Kadavul,
Ini Varum Kaalam,
Madurai Ponnu Chennai Paiyan,
Iyakkam,
Aadum Koothu,
Malarinum Melliya,
Kadhal Endral Enna,
Kadhal Vaanile,
Ghatotkajan,
Pandi,
Thithikkum Ilamai,
Dasavathaaram,
Ayyavazhi,
Pudhupandi,
Thiru Thiruda,
Vallamai Tharayo,
Muniyandi Vilangial Moonramandu,
Azhaipithazh,
Nalla Ponnu Ketta Payyan,
Maanavan Ninaithal,
Manava Manavigal,
Pathu Pathu,
Sutta Pazham,
Unnai Naan,
Sathyam,
Ragasiya Snehithane,
Nayagan,
Jayamkondaan,
Alibhabha,
Dhanam,
Vasool,
Mudhal Mudhal Mudhal Varai,
Raman Thediya Seethai,
Kadhalil Vizhunthen,
Sakkarakatti,
Durai,
Jai Vigneshwara,
Kasimedu Govindan,
Kathi Kappal,
Netru Indru Naalai,
Seval,
Megam,
Aegan,
Poochi,
Theeyavan,
Velvi,
Vaaranam Aayiram,
Thenavattu,
Ellam Avan Seyal,
Kodaikkanal,
"Mahesh, Saranya Matrum Palar",
Nadigai,
Poo,
Utharavindri Ullay Vaa,
Pudhusu Kanna Pudhusu,
Saamida,
Suryaa,
Bommalattam,
Silambattam,
Dindigul Sarathy,
Thiruvannamalai,
Abhiyum Naanum,
Panchamirtham,
Kadhalna Summa Illai,2009
Padikathavan,
Gaja,
Satrumun Kidaitha Thagaval,
Pettarasu,
Kudiyarasu,
Iru Nadhigal,
Thee,
Aarupadai,
Innoruvan,
Yavarum Nalam,
Kanchivaram,
Adada Enna Azhagu,
Aadatha Aattamellam,
Nesikkiren,
