Aandava Kaapaathu,
Kandharvan,
Naan Sigappu Manithan,
Idhuvum Kadandhu Pogum,
Damaal Dumeel,
Karpavai Katrapin,
Tenaliraman,
Thalaivan,
Ennamo Nadakkudhu,
Pongadi Neengalum Unga Kadhalum,
Vaayai Moodi Pesavum,
Yennamo Yedho,
Nee Enge En Anbe,
Dhavani Kaatru,
Nee En Uyire,
Eppothum Vendran,
Yaamirukka Bayamey,
Angusam,
Vallavanukku Pullum Aayudham,
Enn Nenjai Thottaye,
Kochadaiiyaan,
Amma Ammamma,
Adhu Vera Idhu Vera,
Hogenakkal,
Poovarasam Peepee,
Athiyayam,
Manjapai,
Un Samayal Arayil,
Mundaasupatti,
Naan Than Bala,
Ottam Aarambam,
Thirudu Pogatha Manasu,
Uyirukku Uyiraga,
Vazhum Deivam,
Vadacurry,
Netru Indru,
Sooraiyadal,
Vetri Selvan,
Athithi,
Dhanush 5am Vaguppu,
Enna Satham Indha Neram,
Saivam,
Arima Nambi,
Nalanum Nandhiniyum,
Pappali,
Ramanujan,
Sooran,
Irukku Aana Illai,
Sathuranga Vettai,
Thalaikeezh,
Velaiyilla Pattathari,
Thirumanam Enum Nikkah,
Innarku Innarendru,
Jigarthanda,
Muthal Manavan,
Sandiyar,
Sarabham,
Agni,
Bharani,
Anjaan,
Kathai Thiraikathai Vasanam Iyakkam,
Snehavin Kadhalarkal,
Aindhaam Thalaimurai Sidha Vaidhiya Sigamani,
Kabadam,
Irumbu Kuthirai,
Kadhal 2014,
Megha,
Puthiyathor Ulagam Seivom,
Salim,
Amara Kaaviyam,
Kadhalai Thavira Verondrum Illai,
Kalla Saavi,
Pattaya Kelappanum Pandiya,
Poriyaalan,
Valiyudan Oru Kadhal,
Burma,
Sigaram Thodu,
Vachikava,
Vanavarayan Vallavarayan,
Aadama Jaichomada,
Aal,
Aranmanai,
Maindhan,
Rettai Vaalu,
Tamilselvanum 50KM Kalaiselviyum,
Ambel Jhoot,
Jeeva,
Madras,
Thalaikkonam,
Naan Ponnu Ondru Kanden,
Theriyama Unna Kadhalichitten,
Yaan,
Aalamaram,
Gubeer,
Jamaai,
Kurai Ondrum Illai,
Muyal,
Nee Naan Nizhal,
Pulippu Inippu,
Vennila Veedu,
Yaavum Vasappadum,
Kaththi,
Poojai,
Kadhalukku Kannillai,
Kalkandu,
Nerungi Vaa Muthamidathe,
Sokku Sundaram,
Jaihind 2,
Oru Oorla Rendu Raja,
Panduvam,
Appuchi Graamam,
Anbendral Amma,
Gnana Kirukkan,
Murugatrupadai,
Pulipaarvai,
Thirudan Police,
Vilasam,
Chinnan Chiriya Vanna Paravai,
Kaadu,
Naaigal Jaakirathai,
Vanmam,
Vizhi Moodi Yosithaal,
Aaaah,
Kaaviya Thalaivan,
Mosakutty,
Velmurugan Borewells,
Vingyani,
1 Pandhu 4 Run 1 Wicket,
13 Am Pakkam Parkka,
Azhagiya Pandipuram,
Manam Konda Kadhal,
Naangellam Edakoodam,
