id,shortForm,staff,subjectName,url,year
682,AP,N.Karthikeyan,Applied Physics,https://drive.google.com/open?id=1wmpp5UyGkRXBUKoWBaVvOcWFLEWWzu-0,2017
683,AP,N.Karthikeyan,Applied Physics,https://drive.google.com/open?id=1yaGP6UwolvuBJuSXYAqiWuTOpuNQ_tAI,2017
684,AP,N.Karthikeyan,Applied Physics,https://drive.google.com/open?id=1ekBUeYWduQrLDfNwa5Gbf4gDX-bu_Zb1,2017
685,Chem,Dr.M.J.Umapathy,Chemistry of Materials,https://drive.google.com/open?id=186PAdMdqtMRPudjRbyLgLfi2mp_VWfJ0,2017
686,Chem,Dr.M.J.Umapathy,Chemistry of Materials,https://drive.google.com/open?id=1NU70JXU8REktXjfasQGpv008lFhSl1ry,2017
687,Chem,Dr.M.J.Umapathy,Chemistry of Materials,https://drive.google.com/open?id=1gQZzFd0Js4t6u839-Zd16NSCX79Z98Ro,2017
688,FOC,V.Kanakasabapathi,Fundamentals of Computing,https://drive.google.com/open?id=1bS4XW6SU_6vomY8AXXltUbPpkzlp1-k2,2017
689,FOC,V.Kanakasabapathi,Fundamentals of Computing,https://drive.google.com/open?id=18L9ViICb4TNw2c7oyDZNgtrMO1np1rrR,2017
690,FOC,V.Kanakasabapathi,Fundamentals of Computing,https://drive.google.com/open?id=1S9MBzSc0jL4hGVuEfl-srVD7gK_f1IQ2,2017
691,Tech Eng,Reena Sali,Technical Communication,https://drive.google.com/open?id=1ooH8azBcmIe_-7TuyRNZ4VeNQhvUWgoz,2017
692,DM,R.Sridevi,Discrete Mathematics,https://drive.google.com/open?id=17tNsv5gz7a1y6mEu3k7YgTwlBJWtN1bg,2017
693,M2,Dr.S.Sadiq Basha,Mathematics – II,https://drive.google.com/open?id=1lMix4FSMoJ-NgT5LZXSsBDgzpPEtZKgT,2017
694,DS,N.Sivasankari,Digital Systems,https://drive.google.com/open?id=1N6f9lJDpKSmYMuVQTo8_hREZFA5rhSPy,2017
695,C,B.Tamilvanan,Programming in C,https://drive.google.com/open?id=1-PSkHCx7HZKhfZl-ZX-JsJ0s_VDgdLLY,2017
696,M3,Dr.P.Loganathan,Mathematics - III,https://drive.google.com/open?id=1vYr9TtuROZqjtnbeb1WIYsFWfSyct9XS,2017
697,M3,Dr.P.Loganathan,Mathematics - III,https://drive.google.com/open?id=1k369IeVmhduvrkeahtKLIvDxpnFpApv1,2017
698,M3,Dr.P.Loganathan,Mathematics - III,https://drive.google.com/open?id=1FYA-vYzn2KmFld0gqfjFyBcqcYVrGNOA,2017
699,DBMS,G.Sumathi,Database Management Systems,https://drive.google.com/open?id=11a64nGi3OKn0rYN37tbfhy9qsDjKPtdZ,2017
700,DBMS,G.Sumathi,Database Management Systems,https://drive.google.com/open?id=1WDFCeg-mOzVWP9qY6yTlPgDTLw9g047i,2017
701,DBMS,G.Sumathi,Database Management Systems,https://drive.google.com/open?id=1I8tbZraNDFir2uYRHnHFBAFPX_HJC0d1,2017
702,MP,P.S.Karthika,Microprocessors and Applications,https://drive.google.com/open?id=1fYEFKkLMoCwc_8yozvk9ho-7r3CyYkgu,2017
703,MP,P.S.Karthika,Microprocessors and Applications,https://drive.google.com/open?id=1tpWa97pKHpW-5MJkNGUIcl-K943e1fx2,2017
704,MP,P.S.Karthika,Microprocessors and Applications,https://drive.google.com/open?id=12gkIO7tpq33JeMhVyEqqpJdhU-HbxuAm,2017
